1141,1082,1437,1082,1437,1338,1141,1338
1437,1102,2559,1102,2559,1378,1437,1378
2854,1102,3169,1102,3169,1397,2854,1397
2559,1122,2854,1122,2854,1397,2559,1397
3150,1141,3524,1141,3524,1437,3150,1437
3545,1168,4281,1193,4269,1540,3533,1514
4725,1220,5099,1220,5099,1496,4725,1496
4275,1262,4721,1230,4741,1514,4295,1546
5748,1240,6181,1240,6181,1515,5748,1515
5118,1260,5729,1260,5729,1496,5118,1496
6201,1260,6398,1260,6398,1555,6201,1555
6400,1244,7058,1270,7047,1560,6389,1535
1164,1374,2409,1411,2401,1697,1156,1660
2894,1456,3169,1456,3169,1732,2894,1732
2421,1476,2854,1476,2854,1693,2421,1693
3169,1476,3386,1476,3386,1712,3169,1712
3413,1475,4780,1584,4760,1840,3393,1730
4805,1531,5677,1556,5669,1834,4797,1810
6162,1575,6615,1575,6615,1830,6162,1830
5670,1594,6142,1594,6142,1811,5670,1811
6654,1594,6989,1594,6989,1811,6654,1811
1170,1646,2309,1764,2275,2082,1137,1964
2816,1691,3929,1858,3880,2187,2767,2020
2323,1811,2775,1811,2775,2086,2323,2086
3898,1811,4429,1811,4429,2086,3898,2086
4961,1850,5729,1850,5729,2126,4961,2126
5748,1870,6359,1870,6359,2145,5748,2145
4429,1890,4921,1890,4921,2086,4429,2086
6359,1929,6989,1929,6989,2205,6359,2205
1181,2047,1634,2047,1634,2342,1181,2342
1634,2067,1968,2067,1968,2283,1634,2283
2520,2067,3090,2067,3090,2342,2520,2342
1988,2086,2480,2086,2480,2303,1988,2303
3110,2126,3642,2126,3642,2362,3110,2362
3661,2126,3957,2126,3957,2382,3661,2382
3937,2126,4547,2126,4547,2441,3937,2441
5532,2145,6162,2145,6162,2421,5532,2421
4554,2206,5077,2177,5092,2440,4569,2469
6181,2185,6457,2185,6457,2441,6181,2441
5099,2205,5532,2205,5532,2460,5099,2460
6477,2224,6969,2224,6969,2421,6477,2421
1181,2342,1791,2342,1791,2598,1181,2598
2264,2362,2559,2362,2559,2618,2264,2618
2562,2356,3413,2389,3403,2669,2551,2637
1811,2382,2283,2382,2283,2657,1811,2657
3484,2421,3740,2421,3740,2677,3484,2677
3729,2476,4563,2427,4577,2675,3744,2724
5197,2441,6103,2441,6103,2716,5197,2716
4606,2460,5177,2460,5177,2677,4606,2677
6595,2480,6969,2480,6969,2716,6595,2716
6103,2520,6595,2520,6595,2756,6103,2756
1161,2638,1515,2638,1515,2913,1161,2913
1515,2677,2500,2677,2500,2913,1515,2913
3878,2716,4685,2716,4685,2992,3878,2992
